Time [s], Analyzer Name, Decoded Protocol Result
5.098507333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098595083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098682916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098770750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098858500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.098938333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.099026166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.099114000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.099201750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.099289583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.099377416666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.113683750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114090833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114178583333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114266416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114354250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114442000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114529833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114609666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114697500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114785250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114873083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.114960916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.115048666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.115128500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.115216333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.115304166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.129673583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130072666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130160500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130248250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130336083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130423916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130511666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130591500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130679333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130767166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130854916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.130942750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.131030500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.131118333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.131198166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.131286000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.145591666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.145775250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.145966833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
